Item No;Description;Manufacturer;Model Number;Item Type;Custodian;Location;Status;Procedure;Contract Agency;Asset Number;Action Interval;Category;Memo;Serial No;Part Of;Date Acquired;Cost;Action Cost;Time Required;Alternate ID;Department;Metrology Discipline;Range;Standard Type;Use Std;Date Due;Item Out;Last Action Date;UDF Text 1;UDF Text 2;UDF Text 3;UDF Text 4;UDF Text 5;UDF Text 6;UDF Text 7;UDF Text 8;UDF Numeric 1;UDF Numeric 2;UDF Numeric 3;UDF Numeric 4;UDF Numeric 5;UDF Numeric 6;UDF Numeric 7;UDF Numeric 8;Customer Owned;Customer
11;Ashcroft Module;Ashcroft;GQS-2  ;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM006;365;Pressure;;5812;;;;;;;Lab;Lab;0 - 15 PSIG;Working;;7/14/2022;;7/14/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
12;Ashcroft Module;Ashcroft;GQS-2;Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-PM003;365;Pressure;;59240;;;;;;;Manufacturing;Manufacturing;0 - 5 PSIG;Working;;5/4/2022;;5/4/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
13;Emerson/Rosemont Pressure Transmitter;Emerson/Rosemont;3051SMV5M11A3R2E11A1AC12B4Q4;Calibration;Dave Niezgodzki;Balometer Lab;Active;;Internal;LW-FB01-FC01;365;Pressure;;0478665;;;;;;;Lab;Flow;0 - 7.5"WC;Working;;2/18/2017;;2/19/2016;Direct Impact;;;;;;;;;;;;;;;;False;Balometer Lab
14;Emerson/Rosemont RTD;Emerson/Rosemont;68D11N00N040XA;Calibration;Dave Niezgodzki;Balometer Lab;Active;;Internal;LW-FB01-FC01-RTD01;365;Temperature;;1730229;;;;;;;Lab;Temperature;55 - 85 F;Working;;2/18/2017;;2/19/2016;Direct Impact;;;;;;;;;;;;;;;;False;Balometer Lab
15;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;R64;Active;;MC Lab;MW-MFC002;365;Multi-Function Calibrator;;49945;;;;;;;Manufacturing;Manufacturing;Multi;Working;;10/5/2022;;10/5/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
16;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;R64;Active;;Accredited Lab;MW-PM004;365;Pressure;;39568;;;;;;;Manufacturing;Manufacturing;0 - 5" WC;Working;;10/30/2021;;10/30/2020;Direct Impact;;;;;;;;;;;;;;;;False;R64
17;Ashcroft Module;Ashcroft;GQS-2;Calibration;Dave Niezgodzki;R54;Active;;PSL;MW-PM005;365;Pressure;;60933;;;;;;;Manufacturing;Manufacturing;0 - 100 PSIG;Working;;4/19/2022;;4/19/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
18;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;R64;Active;;Accredited Lab;MW-MFC003;365;Multi-Function Calibrator;;49466;;;;;;;Manufacturing;Manufacturing;Multi;Working;;1/20/2022;;1/20/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
19;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM007;365;Pressure;;11077;;;;;;;Lab;Lab;0 - 10" WC;Working;;7/14/2022;;7/14/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
20;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;R54;Active;;PSL;MW-PM006;365;Pressure;;60804;;;;;;;Manufacturing;Manufacturing;0 - 12.5" WC;Working;;4/13/2022;;4/13/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
21;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;A2LA Accredited Lab;Active;;Callabco;LW-MFC003;365;Temperature & Pressure;;49974;;;;;;;Lab;Temperature & Pressure;Multi;Working;;12/9/2021;;12/9/2020;Direct Impact;;;;;;;;;;;;;;;;False;Molbloc
22;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;MC Lab;LW-PM008;365;Pressure;;15361;;;;;;;Lab;Lab;0 - 100" WC;Working;;7/7/2022;;7/7/2021;Direct impact;;;;;;;;;;;;;;;;False;MC Lab
23;Ashcroft Module;Ashcroft;GQS-2;Calibration;Dave Niezgodzki;R54;Active;;PSL;MW-PM007;365;Pressure;;59241;;;;;;;Manufacturing;Manufacturing;0 - 300 PSIG;Working;;4/19/2022;;4/19/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
24;Ashcroft Module;Ashcroft;GQS-2;Calibration;Dave Niezgodzki;MC Lab;Active;;MC Lab;LW-PM001;365;Pressure;;7999;;;;;;;Lab;Lab;0 - 15 PSIG;Working;;9/14/2022;;9/14/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
25;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM002;365;Pressure;;7798;;;;;;;Lab;Lab;+/- 2.5" WC;Working;;6/23/2022;;6/23/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
26;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM003;365;Pressure;;10672;;;;;;;Lab;Lab;+/- 25" WC;Working;;8/10/2022;;8/10/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
27;Ashcroft Module;Ashcroft;AQS-2;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM004;365;Pressure;;12303;;;;;;;Lab;Lab;0 - 15 PSIA;Working;;8/16/2022;;8/16/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
28;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;MC Lab;LW-PM005;365;Pressure;;11078;;;;;;;Lab;Lab;0 - 100" WC;Working;;8/18/2022;;8/18/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
29;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;MC Lab;Active;;MC Lab;LW-MFC001;182;Pressure;;51191;;;;;;;Lab;Lab;Multi;Working;;1/5/2022;;7/7/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
30;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-MFC001;365;Multi-Function Calibrator;;49468;;;;;;;Manufacturing;Manufacturing;Multi;Working;;10/8/2022;;10/8/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
31;Ashcroft Module;Ashcroft;GQS-1 ;Calibration;Dave Niezgodzki;R64;Active;;Accredited Lab;MW-PM001;365;Pressure;;39567;;;;;;;Manufacturing;Manufacturing;0 - 25" WC;Working;;10/30/2021;;10/30/2020;Direct Impact;;;;;;;;;;;;;;;;False;R64
32;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;R64;Active;;Ashcroft;MW-PM002;365;Pressure;;33757;;;;;;;Manufacturing;Manufacturing;+/- 2.5" WC;Working;;10/5/2022;;10/5/2021;Direct Impact;;;;;;;;;;;;;;;;False;R64
33;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;MC Lab;Active;;MC Lab;LW-MFC002;365;Pressure;;49314;;;;;;;Lab;Lab;Multi;Working;;8/25/2021;;8/25/2020;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
34;Orifice Plate;Unknown;32.5MM;Calibration;Dave Niezgodzki;Sensing Precision Wind Tunnel;Active;;Fox Valley Metrology;MW-FB04-OP01;365;Flow Measurement;;;73;;;;;;Manufacturing;Flow;32.5 mm;Working;;3/19/2019;;3/19/2018;Indirect Impact;� 0.04 mm;;;;;;;;;;;;;;;False;Sensing Precision Wind Tunnel
35;Orifice Plate;Unknown;45.0MM;Calibration;Dave Niezgodzki;Sensing Precision Wind Tunnel;Active;;Fox Valley Metrology;MW-FB04-OP02;365;Flow Measurement;;;73;;;;;;Manufacturing;Flow;45.0 mm;Working;;1/30/2021;;1/31/2020;Indirect Impact;� 0.04 mm;;;;;;;;;;;;;;;False;Sensing Precision Wind Tunnel
36;Orifice Plate;Unknown;72.2MM;Calibration;Dave Niezgodzki;Sensing Precision Wind Tunnel;Active;;Fox Valley Metrology;MW-FB04-OP03;365;Flow Measurement;;;73;;;;;;Manufacturing;Flow;72.2 mm;Working;;1/30/2021;;1/31/2020;Indirect Impact;� 0.04 mm;;;;;;;;;;;;;;;False;Sensing Precision Wind Tunnel
37;Orifice Plate;Unknown;101.6MM;Calibration;Dave Niezgodzki;Sensing Precision Wind Tunnel;Active;;Fox Valley Metrology;MW-FB04-OP04;365;Flow Measurement;;;73;;;;;;Manufacturing;Flow;101.6 mm;Working;;1/30/2021;;1/31/2020;Indirect Impact;� 0.04 mm;;;;;;;;;;;;;;;False;Sensing Precision Wind Tunnel
38;Orifice Plate;Unknown;150.0MM;Calibration;Dave Niezgodzki;Sensing Precision Wind Tunnel;Active;;Fox Valley Metrology;MW-FB04-OP05;365;Flow Measurement;;;73;;;;;;Manufacturing;Flow;150.0 mm;Working;;1/30/2021;;1/31/2020;Indirect Impact;;;;;;;;;;;;;;;;False;Sensing Precision Wind Tunnel
39;Orifice Plate;Unknown;164.0MM;Calibration;Dave Niezgodzki;Sensing Precision Wind Tunnel;Active;;Fox Valley Metrology;MW-FB04-OP06;365;Flow Measurement;;;73;;;;;;Manufacturing;Flow;164.0 mm;Working;;1/30/2021;;1/31/2020;Indirect Impact;;;;;;;;;;;;;;;;False;Sensing Precision Wind Tunnel
40;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM009;365;Pressure;;10669;;;;;;;Lab;Lab;+/- 1.0" WC;Working;;12/7/2021;;12/7/2020;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
41;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM010;365;Pressure;;38021;;;;;;;Lab;Lab;+/- 0.5" WC;Working;;8/10/2022;;8/10/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
42;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM011;365;Pressure;;15364;;;;;;;Lab;Lab;+/- 1.0" WC;Working;;12/7/2021;;12/7/2020;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
43;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM012;365;Pressure;Shipped to Ashcroft for certification;11080;;;;;;;Lab;Lab;+/- 12.5" WC;Working;;8/10/2022;;8/10/2021;Direct Impact;;;;;;;;1;;;;;;;;False;MC Lab
44;Ashcroft Module;Ashcroft;AQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM013;365;Pressure;;10826;;;;;;;Lab;Lab;0 - 1.0" WC;Working;;12/23/2021;;12/23/2020;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
45;Ashcroft Module;Ashcroft;AQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM014;365;Pressure;;11569;;;;;;;Lab;Lab;0 - 15.0" WC;Working;;9/9/2022;;9/9/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
46;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM015;365;Pressure;;6180;;;;;;;Lab;Lab;+/- 0.25" WC;Working;;12/21/2021;;12/21/2020;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
47;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;MC Lab;LW-PM016;365;Pressure;;7796;;;;;;;Lab;Lab;0 - 200.0" WC;Working;;7/7/2022;;7/7/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
48;Ashcroft Module;Ashcroft;AQS-1 ;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM017;365;Pressure;;57543;;;;;;;Lab;Lab;0 - 0.5" WC;Working;;8/10/2022;;8/10/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
49;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;R64;Active;;Accredited Lab;MW-PM008;365;Pressure;;60583;;;;;;;Manufacturing;Manufacturing  WDPM Line;+/- 25.0" WC;Working;;10/30/2021;;10/30/2020;Direct Impact;;;;;;;;;;;;;;;;False;Manufacturing Engineering
50;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM018;365;Pressure;;7797;;;;;;;Lab;Lab;+/- 1.0" WC;Working;;9/23/2022;;9/23/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
51;Ashcroft Module;Ashcroft;GQS-1 ;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM019;365;Pressure;;34135;;;;;;;Lab;Lab;0 - 10.0" WC;Working;;12/23/2021;;12/23/2020;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
52;Ashcroft Module;Ashcroft;AQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM020;365;Pressure;;11944;;;;;;;Lab;Lab;0 - 1.0" WC;Working;;8/10/2022;;8/10/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
53;Ashcroft Module;Ashcroft;GQS-2 ;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM021;365;Pressure;;30560;;;;;;;Lab;Lab;0 - 100.0 PSIA;Working;;10/19/2021;;10/19/2020;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
54;Ashcroft Calibrator;Ashcroft;MC2;Calibration;Dave Niezgodzki;MC Lab;Inactive;;Ashcroft;LW-MFC004;365;Multi-Function Calibrator;;4207;;;;;;;Lab;Lab;Multi;Working;;4/13/2018;;1/9/2019;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
55;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM022;365;Pressure;;15367;;;;;;;Lab;Lab;+/- 25.0" WC;Working;;9/9/2022;;9/9/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
56;Ashcroft Module;Ashcroft;GQS-2;Calibration;Dave Niezgodzki;MC Lab;Active;;MC Lab;LW-PM023;365;Pressure;;38045;;;;;;;Lab;Lab;0 - 100 PSIG;Working;;9/9/2022;;9/9/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
57;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM009;365;Pressure;;59484;;;;;;MC1005;Manufacturing;Manufacturing;0 - 10.0" WC;Working;;7/19/2022;;7/19/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
58;Ashcroft Module;Ashcroft;GQS-1 ;Calibration;Dave Niezgodzki;R54;Active;;Accredited Lab;MW-PM010;365;Pressure;;59486;;;;;;;Manufacturing;Manufacturing;+/- 5.0" WC;Working;;3/1/2022;;3/1/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
59;Ashcroft Module;Ashcroft;GQS-2;Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM011;365;Pressure;;55460;;;;;;;Manufacturing;Manufacturing;0 - 300 PSIG;Working;;7/19/2022;;7/19/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
60;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM012;365;Pressure;;61161;;;;;;MC1002;Manufacturing;Manufacturing;0 - 1.0" WC;Working;;4/19/2022;;4/19/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
61;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;R54;Active;;MC Lab;MW-MFC004;365;Multi-Function Calibrator;;49429;;;;;;;Manufacturing;Manufacturing;Multi;Working;;6/16/2022;;6/16/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
62;MC DAQ;Measurement Computing;USB-2416;Calibration;Dave Niezgodzki;MC Lab;Active;;Measurement Comp.;LW-DAQ01;365;Electrical Measurement;;94519;;;;;;;Lab;Lab;Various;Working;;2/2/2022;;2/2/2021;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
63;MC DAQ;Measurement Computing;USB-2416;Calibration;Dave Niezgodzki;MC Lab;Active;;Measurement Comp.;LW-DAQ02;365;Electrical Measurement;;87754;;;;;;;Lab;Lab;Various;Working;;1/4/2022;;1/4/2021;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
64;MC DAQ;Measurement Computing;USB-2416-4AO;Cal Not Req;Dave Niezgodzki;MC Lab;Inactive;;Measurement Comp.;LW-DAQ03;365;Electrical Measurement;;85590;;;;;;;Lab;Lab;Various;Working;;6/22/2021;;6/22/2020;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
65;MC DAQ;Measurement Computing;USB-2416;Calibration;Dave Niezgodzki;MC Lab;Active;;Measurement Comp.;LW-DAQ04;182;Electrical Measurement;;87752;;;;;;;Lab;Lab;Various;Working;;1/17/2020;-1;7/19/2019;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
66;MC DAQ;Measurement Computing;USB-2416;Calibration;Dave Niezgodzki;MC Lab;Active;;Measurement Comp.;LW-DAQ05;365;Electrical Measurement;;88978;;;;;;;Lab;Lab;Various;Working;;1/4/2022;;1/4/2021;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
67;MC DAQ;Measurement Computing;USB-2416;Calibration;Dave Niezgodzki;MC Lab;Active;;Measurement Comp.;LW-DAQ06;365;Electrical Measurement;;87813;;;;;;;Lab;Lab;Various;Working;;8/28/2022;;8/28/2021;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
68;MC DAQ;Measurement Computing;USB-2416;Calibration;Dave Niezgodzki;MC Lab;Active;;Measurement Comp.;LW-DAQ07;365;Electrical Measurement;;87750;;;;;;;Lab;Lab;Various;Working;;2/2/2022;;2/2/2021;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
69;MC DAQ;Measurement Computing;USB-2416;Calibration;Dave Niezgodzki;MC Lab;Active;;Measurement Comp.;LW-DAQ08;365;Electrical Measurement;;88964;;;;;;;Lab;Lab;Various;Working;;2/2/2022;;2/2/2021;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
70;PICO Thermometer;PICO;PT-104;Calibration;Dave Niezgodzki;R64;Active;;MC Lab;MW-TR01;365;Temperature;;VNR33/002;;;;;;;Manufacturing;Temperature;-200 to 850 Deg. C;Working;;6/21/2022;;6/21/2021;Indirect Impact;;;;;;;;;;;;;;;;False;R64
71;SAH Lab;None;;Cal Not Req;Dave Niezgodzki;SAH Lab;Inactive;;Internal;LW-FB01;365;Flow Measurement;;;;;;;;;Lab;Flow;;N/A;;3/4/2017;;3/4/2016;No Impact;;;;;;;;;;;;;;;;False;SAH Lab
72;Wind Tunnel;Engineering Lab Design;;Cal Not Req;Dave Niezgodzki;MC Flow Lab;Active;;Internal;LW-FB02;365;Flow Measurement;;;;;;;;;Lab;Flow;;N/A;;5/18/2025;;3/4/2016;No Impact;;;;;;;;;;;;;;;;False;MC Flow Lab
73;Open Jet Wind Tunnel;Sensing Precision;;Maintenance;Dave Niezgodzki;Engineering Wind Tunnel;Active;;Sensing Precision;MW-FB04;1800;Flow Measurement;;15P198;;;;;;;Lab;Flow;Various;Primary;;3/21/2025;;3/16/2016;No Impact;;;;;;;;;;;;;;;;False;MC Flow Lab
74;Sonic Nozzle Flow System;Unknown;;Cal Not Req;Dave Niezgodzki;MC Flow Lab;Active;;Internal;LW-FB04;1800;Flow Measurement;;;;;;;;;Lab;Flow;;N/A;;3/10/2022;;4/5/2017;Indirect Impact;;;;;;;;;;;;;;;;False;MC Flow Lab
75;Mass Flow Terminal;Fluke;molbox1+ A700K;Calibration;Dave Niezgodzki;17025 Accredited Lab;Active;;Fluke;LW-FB05-IND04;365;Flow Measurement;;2051;;;;;;;Lab;Flow;;Working;;12/18/2021;;12/18/2020;Indirect Impact;;;;;;;;;;;;;;;;False;Molbloc
76;molbloc-L Laminar Flow Element;Fluke;1E3-VCR-V-Q;Calibration;Dave Niezgodzki;MC Flow Lab;Active;;Fluke;LW-FB05-FE01;365;Flow Measurement;;6337;75;;;;;;Lab;Flow;0 - 2 slm;Working;;1/7/2022;;1/7/2021;Direct Impact;;;;;;;;;;;;;;;;False;Molbloc
77;molbloc-L Laminar Flow Element;Fluke;5E3-VCR-V-Q;Calibration;Dave Niezgodzki;MC Flow Lab;Active;;Fluke;LW-FB05-FE02;365;Flow Measurement;;6146;75;;;;;;Lab;Flow;0 - 10 slm;Working;;1/11/2022;;1/11/2021;Direct Impact;;;;;;;;;;;;;;;;False;Molbloc
78;molbloc-L Laminar Flow Element;Fluke;3E4-VCR-V-Q;Calibration;Dave Niezgodzki;MC Flow Lab;Active;;Fluke;LW-FB05-FE03;365;Flow Measurement;;6147;75;;;;;;Lab;Flow;0 - 50 slm;Working;;1/8/2022;;1/8/2021;Direct Impact;;;;;;;;;;;;;;;;False;Molbloc
79;molbloc-L Laminar Flow Element;Fluke;3E4-VCR-V-Q;Calibration;Dave Niezgodzki;MC Flow Lab;Active;;Fluke;LW-FB05-FE04;365;Flow Measurement;;6148;75;;;;;;Lab;Flow;0 - 50 slm;Working;;1/8/2022;;1/8/2021;Direct Impact;;;;;;;;;;;;;;;;False;Molbloc
80;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;R54;Active;;PSL;MW-MFC005;182;Multi-Function Calibrator;;49515;;;;;;;Manufacturing;Manufacturing;Multi;Working;;11/1/2021;;5/3/2021;Direct Impact;;;;;;;;;;;;;;;;False;R54
81;Digital Multimeter;Agilent;34401A;Calibration;Dave Niezgodzki;R64;Active;;Internal;MW-DMM01;365;Electrical Measurement;;MY53007998;;;;;;;Manufacturing;Manufacturing;Multi;Working;;5/27/2022;;5/27/2021;Indirect Impact;;;;;;;;;;;;;;;;False;R64
82;Digital Multimeter;Agilent;34401A;Calibration;Dave Niezgodzki;R64;Active;;MC Lab;MW-DMM02;182;Electrical Measurement;;MY47039018;;;;;;;Manufacturing;Manufacturing;Multi;Working;;1/6/2022;;7/8/2021;Indirect Impact;;;;;;;;;;;;;;;;False;R64
83;Digital Multimeter;HP;3458A;Calibration;Dave Niezgodzki;MC Lab;Active;;Keysight;LR-DMM01;365;Electrical Measurement;;2823A14079;;;;;;;Lab;Lab;Multi;Primary;;1/7/2022;;1/7/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
84;High Flow Water Bench;None;;Maintenance;Dave Niezgodzki;MC Flow Lab;Active;;Internal;LW-FB06;10000;Flow Measurement;;;;;;;;;Lab;Flow;10 - 75 GPM;N/A;;9/25/2044;;5/10/2017;No Impact;;;;;;;;;;;;;;;;False;MC Flow Lab
85;Molbox Flow System;Fluke;;Maintenance;Dave Niezgodzki;MC Flow Lab;Active;;Internal;LW-FB05;10000;Flow Measurement;;;;;;;;;Lab;Flow;Multi;N/A;;9/25/2044;;5/10/2017;No Impact;;;;;;;;;;;;;;;;False;Molbloc
86;Flow Indicator;Durant;57701-470;Cal Not Req;Dave Niezgodzki;MC Flow Lab;Inactive;;Callabco;LW-FB06-IND01;10000;Flow Measurement;;119902-3;84;;;;;;Lab;Flow;10 - 75 GPM;Working;;3/17/2017;;3/17/2016;Indirect Impact;;;;;;;;;;;;;;;;False;MC Flow Lab
87;Anemometer;TSI;8455-12;Calibration;Dave Niezgodzki;MC Flow Lab;Active;;TSI;LW-FB02-ANM01;91;Flow Measurement;;601137;72;;;;;;Lab;Flow;0 - 10,000 ft/sec;Working;;12/16/2021;;9/16/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Flow Lab
88;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;MC Lab;Active;;Ashcroft;LW-PM024;365;Pressure;;8831;;;;;;;Lab;Lab;0 - 25" WC;Working;;7/14/2022;;7/14/2021;Direct Impact;;;;;;;;;;;;;;;;False;MC Lab
89;MC DAQ;Measurement Computing;USB-2416;Cal Not Req;Dave Niezgodzki;MC Lab;Broken;;Measurement Comp.;LW-DAQ09;365;Electrical Measurement;;89449;;;;;;;Lab;Lab;Multi;Working;;10/20/2020;;10/21/2019;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
90;MC DAQ;Measurement Computing;USB-2416;Calibration;Dave Niezgodzki;MC Lab;Active;;Measurement Comp.;LW-DAQ10;365;Electrical Measurement;;87810;;;;;;;Lab;Lab;Multi;Working;;8/17/2021;;8/17/2020;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
91;Agilent DAQ;Agilent;34970A;Calibration;Dave Niezgodzki;MC Lab;Active;;Innocal;LW-DAQ11;365;Electrical Measurement;;MY44083550;;;;;;CP140454;Lab;Lab;Multi;Working;;5/25/2022;;5/25/2021;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
92;Agilent DAQ Card;Agilent;34901A;Calibration;Dave Niezgodzki;MC Lab;Active;;Innocal;LW-DAQC01;365;Electrical Measurement;;US37242214;91;;;;;CP129348;Lab;Lab;Multi;Working;;5/25/2022;;5/25/2021;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
93;Agilent DAQ Card;Agilent;34901A;Cal Not Req;Dave Niezgodzki;MC Lab;Inactive;;Innocal;LW-DAQC02;365;Electrical Measurement;;MY41016021;91;;;;;CP129349;Lab;Lab;Multi;Working;;5/10/2017;;5/10/2016;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
94;Agilent DAQ Card;Agilent;34901A;Calibration;Dave Niezgodzki;MC Lab;Active;;Innocal;LW-DAQC03;182;Electrical Measurement;;MY41005792;604;;;;;CP129350;Lab;Lab;Multi;Working;;2/25/2020;;8/27/2019;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
95;Ashcroft Module;Ashcroft;GQS-1;Calibration;Dave Niezgodzki;R64;Active;;Ashcroft;MW-PM013;365;Pressure;;33756;;;;;;;Manufacturing;Manufacturing;+/- 1.0" WC;Working;;10/16/2021;;10/16/2020;Direct Impact;;;;;;;;;;;;;;;;False;R64
96;Agilent DAQ;Agilent;34970A;Calibration;Dave Niezgodzki;MC Lab;Active;;Innocal;LW-DAQ12;182;Electrical Measurement;;MY41018560;;;;;;LE-DA-04;Lab;Lab;Multi;Working;;11/3/2020;;5/5/2020;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
97;Agilent DAQ Card;Agilent;34901A;Calibration;Dave Niezgodzki;MC Lab;Active;;Innocal;LW-DAQC04;182;Electrical Measurement;;MY41015860;96;;;;;CP210685;Lab;Lab;Multi;Working;;3/16/2022;;9/15/2021;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
98;Agilent DAQ Card;HP;34901A;Calibration;Dave Niezgodzki;MC Lab;Active;;Innocal;LW-DAQC05;182;Electrical Measurement;;US37006453;96;;;;;CP210686;Lab;Lab;Multi;Working;;3/16/2022;;9/15/2021;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
99;Agilent DAQ Card;HP;34901A;Calibration;Dave Niezgodzki;MC Lab;Active;;Innocal;LW-DAQC06;182;Electrical Measurement;;MY41020422;96;;;;;CP210687;Lab;Lab;Multi;Working;;3/16/2022;;9/15/2021;Indirect Impact;;;;;;;;;;;;;;;;False;MC Lab
