Item No;Description;Manufacturer;Model Number;Item Type;Custodian;Location;Status;Procedure;Contract Agency;Asset Number;Action Interval;Category;Memo;Serial No;Part Of;Date Acquired;Cost;Action Cost;Time Required;Alternate ID;Department;Metrology Discipline;Range;Standard Type;Use Std;Date Due;Item Out;Last Action Date;UDF Text 1;UDF Text 2;UDF Text 3;UDF Text 4;UDF Text 5;UDF Text 6;UDF Text 7;UDF Text 8;UDF Numeric 1;UDF Numeric 2;UDF Numeric 3;UDF Numeric 4;UDF Numeric 5;UDF Numeric 6;UDF Numeric 7;UDF Numeric 8;Customer Owned;Customer
1439;Master Gauge;Omega Engineering;PGT-85L-100;Calibration;Dave Niezgodzki;Wolcott;Active;;MC Lab;MW-PI39;365;Pressure;;100-14;;;;;;;Manufacturing;Pressure;0 - 100 PSIG;Working;;1/30/2022;;1/30/2021;;;;;;;;;;;;;;;;;False;Wolcott
1440;Pace Chassis;GE/Druck;5000;Cal Not Req;Dave Niezgodzki;R54;Active;;GE/Druck;MW-DPI39;1826;Digital Pressure Indicator;;11140251;;;;;;;Manufacturing;Pressure;;Working;;2/3/2026;;2/3/2021;;;;;;;;;;;;;;;;;False;R54
1441;Pace Chassis;GE/Druck;5000;Cal Not Req;Dave Niezgodzki;R54;Active;;GE/Druck;MW-DPI40;1826;Digital Pressure Indicator;;11852248;;;;;;;Manufacturing;Pressure;;Working;;2/3/2026;;2/3/2021;;;;;;;;;;;;;;;;;False;R54
1442;Electrostatic Meter;Simco;FMX-004;Calibration;Dave Niezgodzki;MFG ENG;Active;;Simco;MW-DEM01;365;Electrical Measurement;;FX04194;;;;;;;Manufacturing;Electro-Static Discharge;0 to+/-30kV, 0 to +/-300V;Working;;2/5/2022;;2/5/2021;;;;;;;;;;;;;;;;;False;Manufacturing Engineering
1443;Ashcroft Module;Ashcroft;GQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54 ASIC;Active;;Ashcroft;MW-PM371;365;Pressure;;A5398;;;;;;MC3019;Manufacturing;Pressure;0 - 300 PSIA;Working;;2/5/2022;;2/10/2021;;;;;;;;;;;;;;;;;False;626/628 ASIC
1444;Ashcroft Module;Ashcroft;GQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54 ASIC;Active;;Ashcroft;MW-PM372;365;Pressure;;A5399;;;;;;MC3019;Manufacturing;Pressure;0 - 300 PSIA;Working;;2/5/2022;;2/10/2021;;;;;;;;;;;;;;;;;False;626/628 ASIC
1445;Ashcroft Module;Ashcroft;GQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54 ASIC;Active;;Ashcroft;MW-PM373;365;Pressure;;A5400;;;;;;MC3020;Manufacturing;Pressure;0 - 500 PSIA;Working;;2/5/2022;;2/10/2021;;;;;;;;;;;;;;;;;False;626/628 ASIC
1446;Digital Multimeter;Keysight;34450A;Calibration;Dave Niezgodzki;P01 626/628;Active;;Accredited Lab;MW-DMM61;365;Electrical Measurement;;MY60240001;;;;;;;Manufacturing;Electrical Measurement;Multi;Working;;6/16/2021;;2/12/2021;;;;;;;;;;;;;;;;;False;Manufacturing Engineering
1447;Digital Multimeter;Keysight;34450A;Calibration;Dave Niezgodzki;MSX (E);Active;;Accredited Lab;MW-DMM62;365;Electrical Measurement;;MY59400065;;;;;;;Manufacturing;Electrical Measurement;Multi;Working;;10/4/2022;;10/4/2021;;;;;;;;;;;;;;;;;False;P01 Production
1448;Digital Multimeter;Keysight;34450A;Calibration;Dave Niezgodzki;MSX (E);Active;;Accredited Lab;MW-DMM63;365;Electrical Measurement;;MY60330023;;;;;;;Manufacturing;Electrical Measurement;Multi;Working;;7/8/2022;;7/8/2021;;;;;;;;;;;;;;;;;False;P01 Production
1449;Digital Multimeter;Keysight;34450A;Calibration;Dave Niezgodzki;R54 ASIC;Active;;Accredited Lab;MW-DMM64;365;Electrical Measurement;;MY60270061;;;;;;;Manufacturing;Electrical Measurement;Multi;Working;;2/17/2022;;2/17/2021;;;;;;;;;;;;;;;;;False;R54
1450;Digital Multimeter;Keysight;34450A;Calibration;Dave Niezgodzki;R54 ASIC;Active;;Accredited Lab;MW-DMM65;365;Electrical Measurement;;MY60280020;;;;;;;Manufacturing;Electrical Measurement;Multi;Working;;2/17/2022;;2/17/2021;;;;;;;;;;;;;;;;;False;R54
1451;Digital Multimeter;Keysight;34450A;Calibration;Dave Niezgodzki;R54 ASIC;Active;;Accredited Lab;MW-DMM66;365;Electrical Measurement;;MY60100031;;;;;;;Manufacturing;Electrical Measurement;Multi;Working;;2/17/2022;;2/17/2021;;;;;;;;;;;;;;;;;False;R54
1452;Digital Multimeter;Keysight;34450A;Calibration;Dave Niezgodzki;R54 ASIC;Active;;Accredited Lab;MW-DMM67;365;Electrical Measurement;;MY60280006;;;;;;;Manufacturing;Electrical Measurement;Multi;Working;;2/17/2022;;2/17/2021;;;;;;;;;;;;;;;;;False;R54
1453;Digital Multimeter;Keysight;34450A;Calibration;Dave Niezgodzki;P01 AVLV;Active;;Accredited Lab;MW-DMM68;365;Electrical Measurement;;MY61040009;;;;;;;Manufacturing;Electrical Measurement;Multi;Working;;2/23/2022;;2/23/2021;;;;;;;;;;;;;;;;;False;P01 Production
1454;Digital Multimeter;Keysight;34450A;Calibration;Dave Niezgodzki;P01 AVLV;Active;;Accredited Lab;MW-DMM69;365;Electrical Measurement;;MY61030084;;;;;;;Manufacturing;Electrical Measurement;Multi;Working;;2/23/2022;;2/23/2021;;;;;;;;;;;;;;;;;False;P01 Production
